cpu;cpu_details;energy;ip;running_vms;timestamp;unacloud_disk;user_logged
0,600;{'user': 0.1, 'system': 0.4, 'idle': 99.4, 'interrupt': 0, 'dpc': 0};{'processor': 41.567566, 'ia': 16.505127, 'dram': -1};157.253.202.21;0;2019-03-01T14:54:10;{'used': 14179917824.0, 'free': 50243538944.0, 'percent': 22};
1,200;{'user': 1.2, 'system': 0, 'idle': 98.8, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:25:59;{'used': 236480999424.0, 'free': 299865620480.0, 'percent': 44.1};True
9,400;{'user': 2.6, 'system': 6, 'idle': 90.6, 'interrupt': 0.6, 'dpc': 0.2};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:00;{'used': 236481003520.0, 'free': 299865616384.0, 'percent': 44.1};True
1,000;{'user': 1, 'system': 0, 'idle': 99, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:01;{'used': 236481003520.0, 'free': 299865616384.0, 'percent': 44.1};True
6,700;{'user': 0.7, 'system': 5.8, 'idle': 93.3, 'interrupt': 0.2, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:02;{'used': 236481003520.0, 'free': 299865616384.0, 'percent': 44.1};True
1,300;{'user': 1.3, 'system': 0, 'idle': 98.7, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:03;{'used': 236481069056.0, 'free': 299865550848.0, 'percent': 44.1};True
1,000;{'user': 1, 'system': 0, 'idle': 99, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:04;{'used': 236481069056.0, 'free': 299865550848.0, 'percent': 44.1};True
7,200;{'user': 1, 'system': 6.2, 'idle': 92.8, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:05;{'used': 236481069056.0, 'free': 299865550848.0, 'percent': 44.1};True
1,700;{'user': 1.7, 'system': 0, 'idle': 98.3, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:06;{'used': 236481069056.0, 'free': 299865550848.0, 'percent': 44.1};True
1,300;{'user': 1.3, 'system': 0, 'idle': 98.7, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:07;{'used': 236481069056.0, 'free': 299865550848.0, 'percent': 44.1};True
7,900;{'user': 1.7, 'system': 6.1, 'idle': 92.1, 'interrupt': 0, 'dpc': 0};{'processor': -1, 'ia': -1, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:08;{'used': 236481077248.0, 'free': 299865542656.0, 'percent': 44.1};True
1,000;{'user': 1, 'system': 0, 'idle': 99, 'interrupt': 0, 'dpc': 0};{'processor': 58.648926, 'ia': 42.831665, 'dram': -1};157.253.239.11;0;2019-03-07T11:26:09;{'used': 236481077248.0, 'free': 299865542656.0, 'percent': 44.1};True
